county_id,propcount_2020_100yr_all,propcount_2020_100yr_<0,propcount_2020_100yr_q1,propcount_2020_100yr_q2,propcount_2020_100yr_q3,propcount_2020_100yr_q4,propcount_2020_500yr_all,propcount_2020_500yr_<0,propcount_2020_500yr_q1,propcount_2020_500yr_q2,propcount_2020_500yr_q3,propcount_2020_500yr_q4,propcount_2050_100yr_all,propcount_2050_100yr_<0,propcount_2050_100yr_q1,propcount_2050_100yr_q2,propcount_2050_100yr_q3,propcount_2050_100yr_q4,propcount_2050_500yr_all,propcount_2050_500yr_<0,propcount_2050_500yr_q1,propcount_2050_500yr_q2,propcount_2050_500yr_q3,propcount_2050_500yr_q4,n_props
1007.0,426,243,12,23,60,88,506,269,18,20,55,144,434,248,12,21,59,94,513,268,19,23,50,153,6657.0
1091.0,302,187,11,23,27,54,377,224,12,22,42,77,309,188,14,18,32,57,405,241,14,18,45,87,7357.0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1003.0,11982,3927,627,839,1553,5011,14737,3814,709,997,1839,7351,13187,3755,642,895,1761,6108,16137,3571,687,1089,1968,8793,92009.0
1005.0,377,107,18,35,50,167,472,138,23,30,49,232,409,116,22,29,53,189,522,164,18,39,65,236,8882.0
1009.0,1443,257,119,188,306,573,1729,281,149,214,370,715,1493,259,139,188,317,590,1796,301,145,228,368,754,19633.0
1011.0,150,105,9,10,18,8,172,118,5,14,20,14,154,107,8,11,18,10,185,125,10,11,20,18,3536.0
1013.0,246,73,22,35,62,54,273,67,34,36,72,64,253,77,20,36,62,58,290,75,36,36,74,69,7080.0
1015.0,6159,3389,351,458,847,1069,7341,3798,432,538,1025,1495,6479,3510,373,485,914,1149,7637,3904,459,581,1037,1603,40508.0
1017.0,404,315,7,13,20,47,496,371,16,21,19,65,427,329,12,14,21,49,527,387,20,21,29,66,13265.0
1019.0,1557,359,93,127,246,723,2019,447,113,147,255,1042,1657,389,73,134,260,790,2115,467,117,165,255,1096,11450.0
1021.0,1007,229,85,102,164,427,1220,282,100,118,186,534,1060,253,88,98,172,449,1269,294,99,119,203,554,14745.0
1023.0,304,61,33,28,69,113,353,64,25,43,74,147,311,54,33,32,67,125,374,70,31,46,72,155,5412.0
1027.0,314,45,16,39,81,133,362,38,23,43,95,163,331,45,18,42,85,141,383,48,26,43,96,170,5368.0
1029.0,269,63,11,21,49,125,300,62,15,16,54,153,274,64,9,22,48,131,311,56,17,25,53,160,5163.0
1031.0,640,310,39,28,107,155,872,363,48,54,111,294,680,324,44,41,100,170,971,408,45,56,129,331,18939.0
1033.0,2505,805,97,142,247,1214,3871,1270,103,193,422,1883,2584,844,108,144,266,1222,3932,1283,120,183,439,1907,21670.0
1035.0,139,54,9,19,22,35,175,74,4,20,29,48,142,51,11,18,26,36,187,83,5,19,30,50,4974.0
1037.0,652,419,16,29,53,135,769,432,18,37,49,233,675,417,23,32,56,147,786,440,13,30,55,248,5211.0
1039.0,974,316,26,41,96,495,1130,330,26,47,96,631,1008,330,32,38,91,517,1185,363,32,41,91,658,15795.0
1041.0,165,45,20,27,37,36,197,48,22,31,54,42,172,43,25,27,40,37,200,47,26,31,52,44,5177.0
1043.0,1711,1184,40,69,149,269,2103,1392,65,75,174,397,1789,1231,38,79,154,287,2175,1433,67,80,169,426,30939.0
1045.0,337,183,21,30,45,58,459,232,33,33,53,108,362,193,22,32,53,62,518,248,34,47,67,122,16081.0
1047.0,3748,946,100,149,511,2020,6235,1486,167,245,512,3800,4538,1421,97,171,365,2462,6607,1231,139,282,665,4265,14320.0
1049.0,1408,820,61,109,151,255,1738,975,78,133,176,361,1493,858,76,107,164,275,1815,997,93,128,192,390,26591.0
1051.0,2056,1052,89,123,194,598,2655,1281,128,172,264,810,2149,1094,98,117,206,634,2788,1306,146,171,285,880,25880.0
1053.0,700,531,35,41,47,41,1033,766,50,55,82,71,768,584,38,44,53,43,1108,819,48,61,81,89,14092.0
1055.0,5409,2520,132,218,426,2113,6738,2871,189,276,506,2896,5786,2719,154,222,459,2232,7084,3009,207,270,521,3077,38354.0
1057.0,428,210,32,37,62,87,484,226,29,49,79,101,431,204,32,38,67,90,500,237,31,48,79,105,6864.0
1059.0,476,344,19,20,42,45,577,412,22,28,52,56,504,369,20,19,42,48,609,434,19,35,55,58,11548.0
1061.0,445,302,14,34,40,54,611,410,20,31,60,88,482,328,17,30,47,58,656,434,25,33,61,101,10521.0
1063.0,425,195,8,13,35,172,485,163,5,4,30,280,443,182,11,14,42,192,501,173,5,5,13,302,3350.0
1067.0,485,450,4,2,7,22,603,522,11,9,22,39,527,483,4,9,8,23,627,540,6,14,19,48,8058.0
1069.0,2313,867,185,251,456,551,2750,1000,207,268,518,753,2436,903,183,278,475,594,2898,1047,205,276,569,797,37665.0
1071.0,2652,1570,71,123,266,622,3440,1739,88,143,340,1130,2774,1602,83,141,252,696,3603,1791,84,142,318,1268,20055.0
